16,5,880,22
16,10,9054,226
16,15,29692,742
32,5,1784,44
32,10,18622,465
32,15,59134,1478
64,5,3588,89
64,10,35798,894
64,15,116302,2907
64,5,576,14
64,10,614,15
64,15,626,15
64,5,1592,39
64,10,3256,81
64,15,3612,90
64,5,864,21
64,10,1068,26
64,15,1060,26
64,5,916,22
64,10,1092,27
64,15,1068,26
64,5,876,21
64,10,1074,26
64,15,1072,26
64,5,928,23
64,10,1070,26
64,15,1040,26
64,5,914,22
64,10,1096,27
64,15,1130,28
8,5,110,2
8,5,440,11
16,5,910,22
16,6,1530,38
20,5,1150,28
20,6,1974,49
8,5,438,10
16,5,912,22
8,5,468,11
16,5,912,22
8,4,234,5
8,5,468,11
12,4,360,9
12,5,676,16
8,4,234,5
8,5,468,11
12,4,360,9
12,5,676,16
8,4,234,5
8,5,468,11
12,4,360,9
12,5,676,16
12,6,1158,28
12,10,5898,147
16,6,1528,38
16,10,8286,207
8,6,766,19
8,8,1944,48
12,6,1158,28
12,8,2984,74
8,5,456,11
8,6,766,19
12,5,682,17
12,6,1154,28
8,5,440,11
8,6,838,20
12,5,662,16
12,6,1168,29
8,5,466,11
8,6,754,18
12,5,666,16
12,6,1188,29
